0.000000, i_d, i_q, i_d_ref, i_q_ref
0.037330, -12, 18, 0, 0
0.037530, -19, 34, 0, 0
0.037730, 0, 0, 0, 0
0.037930, 17, -8, 0, 0
0.038128, -8, 28, 0, 0
0.038328, -20, 47, 0, 0
0.038530, 41, -19, 0, 0
0.038728, -1, 19, 0, 0
0.038928, -6, 15, 0, 0
0.039130, -11, 5, 0, 0
0.039330, 4, 10, 0, 0
0.039530, 0, 0, 0, 0
0.039930, 1, -13, 0, 0
0.040130, -2, 26, 0, 0
0.040330, 5, -71, 0, 0
0.040528, -18, 21, 0, 0
0.040728, 7, -15, 0, 0
0.040930, -1, 13, 0, 0
0.041130, -12, 12, 0, 0
0.041328, -8, 28, 0, 0
0.041530, -5, 2, 0, 0
0.041730, 0, 0, 0, 0
0.041930, -4, -10, 0, 0
0.042130, 9, 20, 0, 0
0.042330, -55, 50, 0, 0
0.042528, 0, 0, 0, 0
0.042728, -19, 27, 0, 0
0.042928, -6, 15, 0, 0
0.043130, -7, 15, 0, 0
0.043330, 3, 23, 0, 0
0.043530, 11, -5, 0, 0
0.043728, 0, 0, 0, 0
0.043930, -5, 2, 0, 0
0.044130, -1, 13, 0, 0
0.044328, 0, 0, 0, 0
0.044530, 1, -13, 0, 0
0.044728, -5, 2, 0, 0
0.044928, -5, 2, 0, 0
0.045130, -1, 13, 0, 0
0.045328, -5, 2, 0, 0
0.045530, 0, 0, 0, 0
0.045728, 0, 6, 0, 0
0.045930, -7, 15, 0, 0
0.046130, -7, 15, 0, 0
0.046328, -2, 26, 0, 0
0.046528, -8, 28, 0, 0
0.046730, 11, -5, 0, 0
0.046928, -2, 26, 0, 0
0.047130, 15, 17, 0, 0
0.047330, -30, 26, 0, 0
0.047530, -5, 2, 0, 0
0.047730, 40, -6, 0, 0
0.047930, -13, 31, 0, 0
0.048130, -7, 15, 0, 0
0.048328, 0, 0, 0, 0
0.048530, 0, 0, 0, 0
0.048730, 0, 0, 0, 0
0.048930, -4, -10, 0, 0
0.049128, -28, 0, 0, 0
0.049330, -1, 26, 0, 0
0.049530, -5, 2, 0, 0
0.049730, 41, -19, 0, 0
0.049930, -48, 48, 0, 0
0.050130, 0, 0, 0, 0
0.050328, 11, -5, 0, 0
0.050530, 3, 23, 0, 0
0.050730, 41, -19, 0, 0
0.050930, -19, 34, 0, 0
0.051130, -18, 21, 0, 0
0.051330, 39, 6, 0, 0
0.051530, -1, 26, 0, 0
0.051730, 10, 7, 0, 0
0.051930, -5, 2, 0, 0
0.052128, 0, 0, 0, 0
0.052330, -6, 15, 0, 0
0.052530, -6, 15, 0, 0
0.052728, 39, 6, 0, 0
0.052930, 11, -5, 0, 0
0.053130, -8, 28, 0, 0
0.053328, -4, -10, 0, 0
0.053530, -6, 15, 0, 0
0.053728, -5, 2, 0, 0
0.053930, 3, 23, 0, 0
0.054128, 0, 0, 0, 0
0.054328, -6, 15, 0, 0
0.054530, 0, -13, 0, 0
0.054730, -5, 2, 0, 0
0.054930, -1, 13, 0, 0
0.055128, -18, 21, 0, 0
0.055330, -5, 2, 0, 0
0.055530, -11, 5, 0, 0
0.055728, 0, 0, 0, 0
0.055930, -7, 15, 0, 0
0.056130, -13, 25, 0, 0
0.056330, -1, 26, 0, 0
0.056530, -7, 28, 0, 0
0.056728, -5, 2, 0, 0
0.056928, -1, 13, 0, 0
0.057130, 9, 20, 0, 0
0.057330, -6, 15, 0, 0
0.057530, -2, 26, 0, 0
0.057730, 6, -15, 0, 0
0.057930, 40, -6, 0, 0
0.058128, 0, 0, 0, 0
0.058330, -2, 26, 0, 0
0.058528, -3, 39, 0, 0
0.058730, -7, 28, 0, 0
0.058928, -20, 34, 0, 0
0.059130, 0, 0, 0, 0
0.059330, 39, 5, 0, 0
0.059530, 10, 7, 0, 0
0.059730, -37, 42, 0, 0
0.059930, -5, 2, 0, 0
0.060130, -5, 2, 0, 0
0.060330, -6, 15, 0, 0
0.060530, -4, -10, 0, 0
0.060730, -4, -10, 0, 0
0.060930, 5, -2, 0, 0
0.061130, 4, 10, 0, 0
0.061330, -23, 11, 0, 0
0.061530, 5, -2, 0, 0
0.061728, -8, 28, 0, 0
0.061928, -5, 2, 0, 0
0.062130, -5, 2, 0, 0
0.062330, 39, 6, 0, 0
0.062530, 5, -2, 0, 0
0.062730, -6, 15, 0, 0
0.062930, -7, 28, 0, 0
0.063130, 11, 0, 0, 0
0.063330, -5, 2, 0, 0
0.063530, 5, -2, 0, 0
0.063730, 0, 13, 0, 0
0.063930, 0, 0, 0, 0
0.064130, 0, 0, 0, 0
0.064330, 11, -5, 0, 0
0.064530, -5, 2, 0, 0
0.064728, 1, -13, 0, 0
0.064930, -6, 15, 0, 0
0.065130, 9, 20, 0, 0
0.065330, 0, 0, 0, 0
0.065530, 0, 13, 0, 0
0.065730, -5, 2, 0, 0
0.065928, 6, -15, 0, 0
0.066130, -12, 18, 0, 0
0.066330, 0, 0, 0, 0
0.066530, 6, -15, 0, 0
0.066730, -8, 41, 0, 0
0.066930, -12, 12, 0, 0
0.067130, -7, 28, 0, 0
0.067330, 0, 13, 0, 0
0.067528, -18, 21, 0, 0
0.067730, 40, -6, 0, 0
0.067928, 0, 0, 0, 0
0.068130, -5, 2, 0, 0
0.068328, -6, 15, 0, 0
0.068530, -1, 13, 0, 0
0.068728, -5, 2, 0, 0
0.068930, -6, 15, 0, 0
0.069130, -50, 74, 0, 0
0.069330, 3, 23, 0, 0
0.069530, 6, -15, 0, 0
0.069730, 0, 13, 0, 0
0.069930, -5, 2, 0, 0
0.070130, -7, 28, 0, 0
0.070330, 3, 23, 0, 0
0.070530, -5, 2, 0, 0
0.070730, -11, 0, 0, 0
0.070930, 0, 0, 0, 0
0.071130, 5, -2, 0, 0
0.071330, -1, 26, 0, 0
0.071530, -5, 2, 0, 0
0.071730, -7, 28, 0, 0
0.071930, -5, 2, 0, 0
0.072130, 0, -13, 0, 0
0.072330, 10, 7, 0, 0
0.072530, -1, 26, 0, 0
0.072730, 0, 0, 0, 0
0.072930, 0, -13, 0, 0
0.073130, 11, -5, 0, 0
0.073330, 0, 13, 0, 0
0.073530, 0, 13, 0, 0
0.073730, -4, -10, 0, 0
0.073930, -6, 15, 0, 0
0.074130, 40, -6, 0, 0
0.074330, -7, 28, 0, 0
0.074530, 0, 13, 0, 0
0.074728, -5, 2, 0, 0
0.074930, 0, 13, 0, 0
0.075130, 0, 0, 0, 0
0.075330, 0, 0, 0, 0
0.075530, -7, 28, 0, 0
0.075730, -5, 2, 0, 0
0.075930, 4, 23, 0, 0
0.076130, -48, 35, 0, 0
0.076330, 96, -8, 0, 0
0.076530, 0, 0, 0, 0
0.076730, -11, 0, 0, 0
0.076930, 0, 0, 0, 0
0.077130, 0, 0, 0, 0
0.077330, -41, 19, 0, 0
0.077530, 0, 0, 0, 0
0.077730, -17, 8, 0, 0
0.077930, 0, 0, 0, 0
0.078130, -7, 15, 0, 0
0.078330, 25, -37, 0, 0
0.078530, 41, -20, 0, 0
0.078730, 3, 23, 0, 0
0.078930, -4, -10, 0, 0
0.079128, -5, 2, 0, 0
0.079330, 0, -68, 0, 0
0.079530, -6, 15, 0, 0
0.079730, -5, -10, 0, 0
0.079930, 0, 0, 0, 0
0.080130, 41, -19, 0, 0
0.080330, -18, 21, 0, 0
0.080530, -7, 28, 0, 0
0.080730, -6, 15, 0, 0
0.080930, 45, 2, 0, 0
0.081130, -5, 2, 0, 0
0.081330, 0, -13, 0, 0
0.081530, 0, 0, 0, 0
0.081730, 27, 11, 0, 0
0.081930, 0, 13, 0, 0
0.082130, -37, 42, 0, 0
0.082330, -4, -10, 0, 0
0.082530, 6, -15, 0, 0
0.082730, 5, -2, 0, 0
0.082930, -43, 65, 0, 0
0.083130, 0, 13, 0, 0
0.083330, -4, -10, 0, 0
0.083530, -6, 15, 0, 0
0.083730, -1, -49, 0, 0
0.083930, -2, 26, 0, 0
0.084130, 12, -18, 0, 0
0.084330, 21, 21, 0, 0
0.084530, -6, 15, 0, 0
0.084730, -5, 2, 0, 0
0.084930, 0, 13, 0, 0
0.085130, -6, 15, 0, 0
0.085330, 0, -13, 0, 0
0.085530, -5, 2, 0, 0
0.085730, 0, -13, 0, 0
0.085930, -1, 26, 0, 0
0.086130, -6, 15, 0, 0
0.086330, 0, 0, 0, 0
0.086530, 10, 7, 0, 0
0.086730, 27, 11, 0, 0
0.086930, -5, 2, 0, 0
0.087130, -5, 2, 0, 0
0.087330, -5, 2, 0, 0
0.087530, 0, 13, 0, 0
0.087730, 10, 7, 0, 0
0.087930, -1, 13, 0, 0
0.088130, 0, -13, 0, 0
0.088330, 0, 13, 0, 0
0.088530, -14, 44, 0, 0
0.088730, -6, 15, 0, 0
0.088930, -5, 2, 0, 0
0.089130, 3, 23, 0, 0
0.089330, -5, 2, 0, 0
0.089530, 40, -6, 0, 0
0.089730, -2, 39, 0, 0
0.089930, -7, 28, 0, 0
0.090130, 36, -118, 0, 0
0.090330, 0, -6, 0, 0
0.090530, -4, -10, 0, 0
0.090730, 6, -15, 0, 0
0.090930, 0, 0, 0, 0
0.091130, -5, 2, 0, 0
0.091330, -6, 15, 0, 0
0.091530, 29, -14, 0, 0
0.091730, 41, -19, 0, 0
0.091930, -2, 26, 0, 0
0.092128, -5, 2, 0, 0
0.092330, -20, 40, 0, 0
0.092530, -5, 2, 0, 0
0.092730, -13, 31, 0, 0
0.092930, -5, 2, 0, 0
0.093130, 0, -13, 0, 0
0.093330, 0, 0, 0, 0
0.093530, -6, 15, 0, 0
0.093728, 3, 23, 0, 0
